Date,Sale Price
5/31/2012,325000
5/31/2012,325000
5/31/2012,325000
5/31/2012,365000
5/30/2012,325000
5/30/2012,325000
5/30/2012,375000
5/24/2012,360000
5/24/2012,350000
5/24/2012,345000
5/23/2012,372000
5/23/2012,385113
5/23/2012,385113
5/23/2012,375000
5/21/2012,215000
5/21/2012,350000
5/21/2012,350000
5/18/2012,365000
5/18/2012,362000
5/10/2012,345000
5/10/2012,320000
5/10/2012,320000
5/8/2012,355000
5/8/2012,375000
5/8/2012,375000
5/8/2012,373000
5/8/2012,375000
5/4/2012,370000
5/3/2012,360000
